instance,file,ncls,degree,proof_size,time_s,communication_kb
c4_BMC_p1_k2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k2/c4_BMC_p1_k2_renamed_prover_zkqrp.result,3,282,846,4.02028,3911.5595703125
c4_BMC_p1_k4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k4/c4_BMC_p1_k4_renamed_prover_zkqrp.result,7,305,2135,5.24407,5726.9921875
c4_BMC_p1_k8,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c4_BMC_p1_k8/c4_BMC_p1_k8_renamed_prover_zkqrp.result,15,307,4605,10.1565,12046.1484375
c6_BMC_p1_k2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/c6_BMC_p1_k2/c6_BMC_p1_k2_renamed_prover_zkqrp.result,3,2283,6849,28.1029,15000.0390625
eijk.S208.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208.S-d4/eijk.S208.S-d4_renamed_prover_zkqrp.result,15,108,1620,4.26649,4689.6328125
eijk.S208c.S-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208c.S-d3/eijk.S208c.S-d3_renamed_prover_zkqrp.result,7,55,385,3.09002,2355.9296875
eijk.S208c.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208c.S-d4/eijk.S208c.S-d4_renamed_prover_zkqrp.result,15,111,1665,4.44514,4783.4296875
eijk.S208o.S-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S208o.S-d3/eijk.S208o.S-d3_renamed_prover_zkqrp.result,7,51,357,3.25454,2311.2421875
eijk.S420.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S420.S-d4/eijk.S420.S-d4_renamed_prover_zkqrp.result,15,114,1710,4.08567,4853.2265625
eijk.S510.S-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S510.S-d3/eijk.S510.S-d3_renamed_prover_zkqrp.result,3,76,228,2.78395,2024.4609375
eijk.S510.S-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/eijk.S510.S-d4/eijk.S510.S-d4_renamed_prover_zkqrp.result,17,418,7106,11.474,14073.546875
texas.ifetch1^1.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/texas.ifetch1^1.E-d3/texas.ifetch1^1.E-d3_renamed_prover_zkqrp.result,86,169,14534,14.4682,26744.5078125
texas.ifetch1^3.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/texas.ifetch1^3.E-d3/texas.ifetch1^3.E-d3_renamed_prover_zkqrp.result,86,171,14706,14.7684,27332.6015625
texas.parsesys^1.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/texas.parsesys^1.E-d3/texas.parsesys^1.E-d3_renamed_prover_zkqrp.result,7,145,1015,3.34347,3515.4296875
vis.bakery.E-d3,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/vis.bakery.E-d3/vis.bakery.E-d3_renamed_prover_zkqrp.result,7,294,2058,4.75061,5431.0703125
vis.eisenberg.E-d4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim6/benchmark/benchmarks_qcube/True/vis.eisenberg.E-d4/vis.eisenberg.E-d4_renamed_prover_zkqrp.result,15,761,11415,21.9273,21636.3046875
